{'dataset\\train_20241014_53cases\\images'}
{'dataset\\train_20241014_53cases\\masks'}
{'dataset\\test_20241014_53cases\\images'}
{'dataset\\test_20241014_53cases\\masks'}
alpha,beta,epoch,LR,Dice,Loss,Datetime
0.3,0.8,1,0.001,0.40170482397079466,0.7491390618185202,1017_1035
0.3,0.7,1,0.001,0.49483869075775144,0.7474035794536272,1017_1040
0.3,0.6,1,0.001,0.4154732823371887,0.769850409279267,1017_1046
0.3,0.5,1,0.001,0.5019374370574952,0.7323888291915258,1017_1052
0.3,0.4,1,0.001,0.46691036224365234,0.688211977481842,1017_1057
0.3,0.3,1,0.001,0.43066381216049193,0.7673786630233129,1017_1103
0.3,0.2,1,0.001,0.4177681565284729,0.6076634104053179,1017_1109
0.3,0.1,1,0.001,0.20223376750946045,0.5981669115523497,1017_1114
0.2,0.9,1,0.001,0.44225717782974244,0.7062865396340688,1017_1120
0.2,0.8,1,0.001,0.36552289724349973,0.7303711002071699,1017_1126
0.2,0.7,1,0.001,0.43569297790527345,0.7450509568055471,1017_1131
0.2,0.6,1,0.001,0.4317217946052551,0.712865753720204,1017_1137
0.2,0.5,1,0.001,0.39484516382217405,0.6814740436772505,1017_1143
0.2,0.4,1,0.001,0.5160699844360351,0.6482596695423126,1017_1148
0.2,0.3,1,0.001,0.47715274095535276,0.6750666064520677,1017_1154
0.2,0.2,1,0.001,0.3719814896583557,0.6196391185124716,1017_1159
0.2,0.1,1,0.001,0.4479809045791626,0.5498149295647939,1017_1205
0.1,0.9,1,0.001,0.332501220703125,0.6417297956844171,1017_1211
0.1,0.8,1,0.001,0.2788003087043762,0.6378249054153761,1017_1216
0.1,0.7,1,0.001,0.4437121391296387,0.5595145672559738,1017_1222
0.1,0.6,1,0.001,0.3911514520645142,0.6138255683084329,1017_1228
0.1,0.5,1,0.001,0.27798614501953123,0.607195932418108,1017_1233
0.1,0.4,1,0.001,0.4918692111968994,0.5372590608894825,1017_1239
0.1,0.3,1,0.001,0.4059487819671631,0.6170382139583429,1017_1245
0.1,0.2,1,0.001,0.49411286115646363,0.4643940267463525,1017_1250
0.1,0.1,1,0.001,0.37346534729003905,0.4427764490246773,1017_1256
